가수,제목,가사
임영웅,아버지,"하얀 머리 뽑아 달라며
한 개 백 원이라던
그 시절 다 지나가고
이젠 흰 눈만 남았네
그렇게도 힘이 드냐며
나를 위로하시다
어느새 잠들어버린
주름만 남은 내 아버지
세상이 아무리 힘들어도
당신 있으면 견딜 것 같아
오래오래 날 지키며
그냥 곁에만 있어 주세요
활짝 웃는 모습이 어린애 같아 보여도
아프다 말도 못 하는 사람
이제는 내가 지켜줄게
어린아이로 돌아가 버린
사랑하는 내 아버지
오래오래 날 지키며
그냥 곁에만 있어 주세요
활짝 웃는 모습이
어린애 같아 보여도
아프다 말도 못 하는 사람
이제는 내가 지켜줄게
어린아이로 돌아가 버린
사랑하는 내 아버지
사랑해요 내 아버지"
김호중,빛이나는사람,"내가 긴밤을 헤매고 있을때
때론 슬픔에 잠겨있을때
거친 세상에 지독한 외로움속에
혼자라 느껴질때
음 한줄기 빛처럼 음 다가온 그대
그대가 있어 그대가 있어 숨을 쉰다
지치지않는 걸음으로
빛이 나는 사람
빛이 나는 사람
때론 하늘아래 홀로 있는 외로움
비춰 주는 사람 바로 그대
영원한 사랑으로
음 한줄기 빛처럼 음 다가온 그대
그대가 있어 그대가 있어 살아간다
지치지않는 걸음으로
빛이 나는 사람
빛이 나는 사람
때론 하늘아래 홀로 있는 외로움
비춰주는 사람 바로 그대
영원한 사랑으로
영원한 사랑으로
빛이 나는 사람 빛이 나는 사람
때론 하늘아래 홀로 있는 외로움
비춰주는 사람 바로 그대
영원한 사랑으로
영원한 사랑으로"
케이시(Kassy),사실말야내가말야그게그러니까말이야,"알아 내일이면 나 후회할 걸
너무도 잘 알아
오늘도 난 술에 취해 네게 전활 걸어
사랑한다는 그 한마디 너무도 어려워
너도 내 맘 같다면 날 보고 웃어줘
날 기다렸다고
바람도 살랑이고
모든 게 춤을 춰
기분 좋게 취하는 밤이야
아직 네게 말 못 한
비밀이 있는데
오늘 아님 못할 거 같아 왠지
사실 말야
내가 말야
그게 그러니까 말이야..
내가 너를 좋아해
알아 내일이면 나 후회할 걸
너무도 잘 알아
오늘도 난 술에 취해 네게 전활 걸어
사랑한다는 그 한마디 너무도 어려워
너도 내 맘 같다면 날 보고 웃어줘
날 기다렸다고
일도 손에 안 잡혀
나 이제 어떡해
하루 종일 네 생각만 해 매일
사실 말야
내가 말야
그게 그러니까 말이야..
내가 너를 사랑해
알아 내일이면 나 후회할 걸
너무도 잘 알아
오늘도 난 술에 취해 네게 전활 걸어
사랑한다는 그 한마디 너무도 어려워
너도 내 맘 같다면 날 보고 웃어줘
지금 당장 날 좋아해 달란 말 아냐
눈물 나게 널 원해도
부담되긴 싫어
더 이상 내 맘 나 숨기고 싶지가 않아
이제 고백할거야
널 사랑한다고
오늘도 난 술에 취해 네게 전활 걸어"
디오(D.O.),별떨어진다(IDo),"밝은 빛은 별 뿐인
고요한 오늘 밤
잔잔한 풀벌레 소린
멋진 노랫말
내 어깨 위로
살짝 기대진 너의 온긴
맘을 괜히 들뜨게 해
설렘 끝에 번지는 기대감
소원 빌래? 별 떨어진다
잠깐이라 또 놓쳤지만
금방 더 떨어지겠지
밤이 끝날 때까지
원하는 게 딱 하난데 난
내 소원 듣게 되면 I do I do
웃으며 대답해 줘 I do I do
둘이 아닌
우린 어떤 모습일까
꼭 하나인 것 같이
서로를 잘 알아
수없이 많은 기억들이
똑같을 너와 나
상상만 했는데
다 이뤄진 것 같아
넌 아무거나 마구 빌어도 돼
내가 전부 듣고 이뤄줄게
저 별을 갖고 싶다
말하면 따다 줄게
맘으로만 혼자 빌어도 돼
말해줄 때까지 기다릴게
네 마음이 눈에 보였음 해
하늘에 저 별들처럼
소원 빌래? 별 떨어진다
(네 옆으로)
잠깐이라 또 놓쳤지만
금방 더 떨어지겠지
밤이 끝날 때까지
원하는 게 딱 하난데 난
내 소원 듣게 되면 I do I do
웃으며 대답해 줘 I do I do
너만 좋다면 좋아
그게 뭐라도
네가 간다면 따라가
어딜 간대도
오랜 시간 흘러가도
함께 있으면 좋겠어
너는 나 난 네 옆에서
소원 빌래? 별 떨어진다
(다시 네게 온다)
잠깐이라 또 놓쳤지만
(널 보느라 놓쳤지)
이젠 뭐 상관없겠지
이미 눈치챘으니
원하는 건 너 하나뿐야
(너뿐이야)
영원히 함께해 줘 I do I do
웃으며 대답해 줘 I do I do
I do I do"
우효,민들레(singlever.),"우리 손 잡을까요
지난날은 다 잊어버리고
나를 사랑한다고 말해주세요
우리 동네에 가요
편한 미소를 지어 주세요
노란 꽃잎처럼 내 맘에
사뿐히 내려앉도록
바람결에 스쳐 갈까
내 마음에 심어질까
너에게 주고만 싶어요
사랑을 말하고 싶어
사랑해요 그대
있는 모습 그대로
너의 모든 눈물
닦아주고 싶어
어서 와요 그대
매일 기다려요
나 웃을게요 많이
그대를 위해 많이
많이 웃을게요
우리 손 잡을까요
널 얼마나 사랑하는데
오늘은 안아줘요
널 왜 자꾸 놓아주려 해
놓아주려 해
바람처럼 사라질까
내 마음을 채워줄까
나는 너를 보고 싶어요
너와 함께 하고 싶어
사랑해요 그대
있는 모습 그대로
너의 모든 시간
함께 하고 싶어
어서 와요 그대
같이 걸어가요
웃게 해줄게요
더 웃게 해줄게요
영원히"
NewJeans,Hypeboy,"(1,2,3,4)
Baby, got me looking so crazy
빠져버리는 daydream
Got me feeling you
너도 말해줄래
누가 내게 뭐라든
남들과는 달라 넌
Maybe you could be the one
날 믿어봐 한번
I’m not looking for just fun
Maybe I could be the one
Oh baby
예민하대 나 lately
너 없이는 매일 매일이 yeah
재미없어 어쩌지
I just want you
Call my phone right now
I just wanna hear you’re mine
‘Cause I know what you like boy
You’re my chemical hype boy
내 지난날들은
눈 뜨면 잊는 꿈
Hype boy 너만 원해
Hype boy 내가 전해
And we can go high
말해봐 yeah
느껴봐 mm mm
Take him to the sky
You know I hype you boy
눈을 감아
말해봐 yeah
느껴봐 mm mm
Take him to the sky
You know I hype you boy
잠에 들려고 잠에 들려 해도
네 생각에 또 새벽 세 시 uh-oh
알려줄 거야 they can’t have you no more
봐봐 여기 내 이름 써있다고
누가 내게 뭐라든
남들과는 달라 넌
Maybe you could be the one
날 믿어봐 한번
I’m not looking for just fun
Maybe I could be the one
Oh baby
예민하대 나 lately
너 없이는 매일 매일이 yeah
재미없어 어쩌지
I just want you
Call my phone right now
I just wanna hear you’re mine
‘Cause I know what you like boy
You’re my chemical hype boy
내 지난날들은
눈 뜨면 잊는 꿈
Hype boy 너만 원해
Hype boy 내가 전해
And we can go high
말해봐 yeah
느껴봐 mm mm
Take him to the sky
You know I hype you boy
눈을 감아
말해봐 yeah
느껴봐 mm mm
Take him to the sky
You know I hype you boy"
PaulBlanco,Summer(Feat.BE’O(비오)),"The sun goes up
I'm sorry I forgot her name
I don't do love
어제는 잊기로 해
I been living like this
Living like this
Living like this
I been living like this
담배빵 On a brand new Bottega bag
어제보다 더 취해서 집에 가네
Are you
Thinking 'bout me
(Thinking 'bout me)
Thinking 'bout me
(Thinking 'bout me)
Thinking 'bout me
Are you thinking 'bout me
But 사실 너가 없어서
내가 꿈꿔 왔던 거
전부 의미가 없어진 건 아니
없어진 건 아니
The sun goes up
I'm sorry I forgot her name
I don't do love
어제는 잊기로 해
I been living like this
Living like this
Living like this
I been living like this
샴페인을 쏟아 니가 준 Cartier 위에
The f*** is this girl
tapping on my back
Are you
Thinking 'bout me
Thinking 'bout me
Thinking 'bout me
Are you thinking 'bout me
너한텐 My life’s good
나는 불평 못해
아무거나 갖다
네 빈자리를 채우려 하지만
말처럼 쉽진 않네
Every night every night
Ay ay Don Julios gets popped
This yungin from the block
압구 Zombie walking
오늘도 Move in silence
내 옆에 쌓이는 많은
것들이면 충분해 나는
나 며칠 갤러리 안 들어가면 돼
It ain't nothing
yeah yeah Stay
방금 내가 한 말은 실수였어 oh wait
니가 저질렀던 실수를
전부 머리에서 지우고
담배불에 다 태우면 돌아올래
Baby girl I'm sorry
사람 말은 아직 잘 믿지 못하지
기대하지는 마 Please
너랑 난 어차피
되고 말아 Nothing
내 삶이 시시해
눈앞에 Vvs 있어도
기지개 니가 잘못했잖아
받을 테니까 먼저 전화해
This song is for you
아침에 눈 뜨면 다 꿈이어줘
다 봄인데 눈이 오네 내 맘에만
쭉 니가 뭘 해도
But 사실 너가 없어서
내가 꿈꿔 왔던 거
전부 의미가 없어진 건 아니
없어진 건 아니
yeah yeah Stay
방금 내가 한 말은 실수였어 oh wait
니가 저질렀던 실수를
전부 머리에서 지우고
담배불에 다 태우면 돌아올래
yeah yeah Stay
방금 내가 한 말은 실수였어 oh wait
니가 저질렀던 실수를
전부 머리에서 지우고
담배불에 다 태우면 돌아올래
내가 아닌 저 사람과
새 삶을 만들어가지마
내가 아닌 저 사람과
새 삶을 만들어가지마
내가 아닌 저 사람과
새 삶을 만들어가지마
내가 아닌 저 사람과
새 삶을 만들어가지마"
임영웅,Polaroid,"별들이 짙던 밤 하늘에 약속한 고백
아직도 맘에
당연하듯 남아 있어요
어제 일같이 선명하네요
가슴 저리는 게 사랑이 아니라
그 누가 뭐라던가, 오
심장이 뛰는데 아프게 뛰는데
이게 사랑인 거야
운명 같은 밤 너를 만나
영원하자고 외쳤던 그 밤
네가 날 잊어도
난 널 꺼내 볼 테니까 언제나
내 맘속 사진첩 한 켠엔 그대가 있지
참 행복했지 때론 아픈 날이 있어도
버릴 수 없는 추억이 됐지
가슴 저리는 게 사랑이 아니라
그 누가 뭐라던가, 오
심장이 뛰는데 아프게 뛰는데
이게 사랑인 거야
운명 같은 밤 너를 만나
영원하자고 외쳤던 그 밤
네가 날 잊어도
난 널 꺼내 볼 테니까 언제나
우~ 예~
우~
네가 날 잊어도
난 널 꺼내 볼 테니까 언제나
한 장씩 널 기억하며 보낼게
우리 모든 순간 가슴 떨리던 날
모든 날이 따스하게 감싸준
널 사랑했다
운명 같은 밤 너를 만나
셀 수 없이 많은 날 함께 했지
사랑했어요 아주 많이
사진첩 속의 그대여
영원히 기억할게 시간이 지나도
언제나"
방탄소년단,Dynamite,"Cos ah ah
I’m in the stars tonight
So watch me bring the fire
and set the night alight
Shoes on get up in the morn
Cup of milk let’s rock and roll
King Kong kick the drum
rolling on like a rolling stone
Sing song when I’m walking home
Jump up to the top LeBron
Ding dong call me on my phone
Ice tea and a game of ping pong
This is getting heavy
Can you hear the bass boom
I’m ready
Life is sweet as honey
Yeah this beat cha ching
like money
Disco overload I’m into
that I’m good to go
I'm diamond you know I glow up
Hey so let’s go
Cos ah ah
I’m in the stars tonight
So watch me bring the fire
and set the night alight
Shining through the city
with a little funk and soul
So I’mma light it up
like dynamite woah
Bring a friend join the crowd
Whoever wanna come along
Word up talk the talk
just move like we off the wall
Day or night the sky’s alight
So we dance to the break of dawn
Ladies and gentlemen
I got the medicine
so you should keep ya
eyes on the ball huh
This is getting heavy
Can you hear the bass boom
I’m ready
Life is sweet as honey
Yeah this beat cha ching
like money
Disco overload
I’m into that I’m good to go
I'm diamond you know I glow up
Let’s go
Cos ah ah
I’m in the stars tonight
So watch me bring the fire
and set the night alight
Shining through the city
with a little funk and soul
So I’mma light it up
like dynamite woah
Dynnnnnanana life is dynamite
Dynnnnnanana life is dynamite
Shining through the city
with a little funk and soul
So I’mma light it up
like dynamite woah
Dynnnnnanana eh
Dynnnnnanana eh
Dynnnnnanana eh
Light it up like dynamite
Dynnnnnanana eh
Dynnnnnanana eh
Dynnnnnanana eh
Light it up like dynamite
Cos ah ah
I’m in the stars tonight
So watch me bring the fire
and set the night alight
Shining through the city
with a little funk and soul
So I’mma light it up
like dynamite
Cos ah ah
I’m in the stars tonight
So watch me bring the fire
and set the night alight
Shining through the city
with a little funk and soul
So I’mma light it up
like dynamite woah
Dynnnnnanana life is dynamite
Dynnnnnanana life is dynamite
Shining through the city
with a little funk and soul
So I’mma light it up
like dynamite woah"
윤하(YOUNHA),사건의지평선,"생각이 많은 건 말이야
당연히 해야 할 일이야
나에겐 우리가 지금 1순위야
안전한 유리병을 핑계로
바람을 가둬 둔 것 같지만
기억나? 그날의 우리가
잡았던 그 손엔 말이야
설레임보다 커다란 믿음이 담겨서
난 함박웃음을 지었지만
울음이 날 것도 같았어
소중한 건 언제나 두려움이니까
문을 열면 들리던 목소리
너로 인해 변해있던 따뜻한 공기
여전히 자신 없지만 안녕히
저기, 사라진 별의 자리
아스라이 하얀 빛
한동안은 꺼내 볼 수 있을 거야
아낌없이 반짝인 시간은
조금씩 옅어져 가더라도
너와 내 맘에 살아 숨 쉴 테니
여긴, 서로의 끝이 아닌
새로운 길 모퉁이
익숙함에 진심을 속이지 말자
하나 둘 추억이 떠오르면
많이 많이 그리워할 거야
고마웠어요 그래도 이제는
사건의 지평선 너머로
솔직히 두렵기도 하지만
노력은 우리에게 정답이 아니라서
마지막 선물은 산뜻한 안녕
저기, 사라진 별의 자리
아스라이 하얀 빛
한동안은 꺼내 볼 수 있을 거야
아낌없이 반짝인 시간은
조금씩 옅어져 가더라도
너와 내 맘에 살아 숨 쉴 테니
여긴, 서로의 끝이 아닌
새로운 길 모퉁이
익숙함에 진심을 속이지 말자 
하나 둘 추억이 떠오르면
많이 많이 그리워할 거야
고마웠어요 그래도 이제는
사건의 지평선 너머로
저기, 사라진 별의 자리
아스라이 하얀 빛
한동안은 꺼내 볼 수 있을 거야
아낌없이 반짝인 시간은
조금씩 옅어져 가더라도
너와 내 맘에 살아 숨 쉴 테니
여긴, 서로의 끝이 아닌
새로운 길 모퉁이
익숙함에 진심을 속이지 말자 
하나 둘 추억이 떠오르면
많이 많이 그리워할 거야
고마웠어요 그래도 이제는
사건의 지평선 너머로
사건의 지평선 너머로"
로이킴,"잘지내자,우리(여름날우리X로이킴)","마음을 다 보여줬던 너와는 다르게
지난 사랑에 겁을 잔뜩 먹은
나는 뒷걸음질만 쳤다
너는 다가오려 했지만
분명 언젠가 떠나갈 것이라 생각해
도망치기만 했다
같이 구름 걸터앉은 나무 바라보며
잔디밭에 누워
한 쪽 귀로만 듣던 달콤한 노래들이
쓰디쓴 아픔이 되어
다시 돌아올 것만 같아
분명 언젠가 다시 스칠 날 있겠지만
모른 척 지나가겠지
최선을 다한 넌 받아들이겠지만
서툴렀던 난
아직도 기적을 꿈꾼다
눈 마주치며 그땐 미안했었다고
용서해달라고 얘기하는 날
그때까지 잘 지내자 우리 우리
지금 생각해보면 그까짓 두려움
내가 바보 같았지 하며
솔직해질 자신 있으니
돌아오기만 하면 좋겠다
분명 언젠가 다시 스칠 날 있겠지만
모른 척 지나가겠지
최선을 다한 넌 받아들이겠지만
서툴렀던 난
아직도 기적을 꿈꾼다
눈 마주치며 그땐 미안했었다고
용서해달라고 얘기하는 날
그때까지 잘 지내자 우리 우리
눈 마주치며 그땐 미안했다고
용서해달라고 이야기 하는 날
그때까지
잘 지내자
우리"
H1-KEY(하이키),건물사이에피어난장미(RoseBlossom),"건물 사이에 피어난 장미
제발 살아남아 줬으면
꺾이지 마 잘 자라줘
온몸을 덮고 있는 가시
얼마나 힘이 들었으면
견뎌내줘서 고마워
예쁘지 않은 꽃은 다들
골라내고 잘라내
예쁘면 또 예쁜 대로
꺾어 언젠가는 시들고
왜 내버려 두지를 못해
그냥 가던 길 좀 가
어렵게 나왔잖아
악착같이 살잖아 hey
나는 건물 사이에 피어난 장미
삭막한 이 도시가
아름답게 물들 때까지
고갤 들고 버틸게 끝까지
모두가 내 향길 맡고 취해
웃을 때까지
Oh oh oh oh
No I'm not goin' down
I'll be alright
Yeh I'm only goin' up
and Imma be alright
Hey
내가 원해서 여기서 나왔냐고
원망해 봐도 안 달라져 하나도
지나고 돌아보면
앞만 보던 내가 보여
그때그때 잘 견뎌냈다고
생각 안 해 그냥 날 믿었다고
거센 바람이 불어와
내 살을 베려 해도
자꾸 벌레들이 나를
괴롭히고 파고들어도
No 언제나 굴하지 않고
쓰러지지 않아 난
어렵게 나왔잖아
악착같이 살잖아
나는 건물 사이에 피어난 장미
삭막한 이 도시가
아름답게 물들 때까지
고갤 들고 버틸게 끝까지
모두가 내 향길 맡고
취해 웃을 때까지
Keep it up
Oh oh oh oh
It's a song for you and I
Say that we're alive
Celebrate it now
나는 건물 사이에 피어난 장미
삭막한 이 도시가
아름답게 물들 때까지
고갤 들고 버틸게 끝까지
모두가 내 향길 맡고
취해 웃을 때까지
Keep it up
Oh oh oh oh
No I'm not goin' down
I'll be alright
Yeh I'm only goin' up
and Imma be alright
Hey
Keep it up
Oh oh oh oh
No I'm not goin' down
I'll be alright
Yeh I'm growin' up
and Imma be alright
Hey"
AKMU(악뮤),LoveLee,"You know
내 스타일이 아닌 음악을 들어도
You know
좋아하지 않는 음식을 먹어도
우산 없이 비가 와 홀딱 다 젖어도 좋아
I love it because I love you
우리 관계 디비디비딥
매일 봐도 처음같이 비기비기닝
춤추고 싶어 빌리빌리진
우리 앞 우리 옆 시기시기질투
자유로운 날갯짓 훨훨훨
꽃송이가 나를 삼킬 걸
알면서 난 뛰어들었어 
Jump j-j-jump jump jump jump
So lovely day so lovely
Errday with you so lovely
Du durudu durudu du durudu
Spell L.o.v.e.L.e.e
이름만 불러도 you can feel me
눈빛만 봐도 알면서 my love
You know
아끼는 옷에 coffee를 쏟아도
You know
내가 준 목걸이를 잃어버려도
한 번 더 같은 것 사준 걸 다시 또 잃어도 좋아
I don't care I just care about you
여기 어때 how you like that
다 퍼주고 될게 빈털터리
Jubilate 박수갈채
안 반하고 누가 배겨 love sick
비타민 U가 필요해
만들어줘 샛노랗게
체크무늬 벌집 두 눈에
Honey help honey help
So lovely day so lovely
Errday with you so lovely
Du durudu durudu du durudu
Spell L.o.v.e.L.e.e
이름만 불러도 you can feel me
눈빛만 봐도 알면서 my love
누구 사랑 먹고 그리 이쁘게 컸니
Mommy or your daddy or them both
Lovey-dovey things 너의 곁에 everyday
Good morning good night
너의 이름 부를 때
So lovely day so lovely
Errday with you so lovely
Du durudu durudu du durudu
Spell L.o.v.e.L.e.e
이름만 불러도 you can feel me
눈빛만 봐도 알면서 my love"
케이시(Kassy),너밖엔없더라,"사랑해 너밖엔 없더라
그런 사람 세상엔 없더라
내게 잘해줘도 고마운 줄 몰랐어
받을 줄만 알던 철부지였어
그땐 그게 정말 행복인 줄 몰랐어
이렇게 그리운 추억이 될 줄
멀리 떠난 후에야 눈물이 날 가르쳐
네 곁이 바로 천국이었다는 걸
사랑해 너밖엔 없더라
그런 사람 세상엔 없더라
영원히 내 사랑 너야
다시 태어나도 너야
이젠 내가 더 널 사랑해
말 한마디라도 따뜻하게 못했어
너를 무던히도 힘들게 했어
왠지 다른 곳에 있을 것만 같았어
나를 눈부시게 비춰줄 사람
너를 잃은 후에야 눈물이 날 가르쳐
나에겐 네가 햇살이었다는 걸
사랑해 너밖엔 없더라
그런 사람 세상엔 없더라
영원히 내 사랑 너야
다시 태어나도 너야
이젠 내가 더 널 사랑해
늘 받기만 한 너의 그 사랑
이젠 내가 갚을 차롄걸
사랑해 너밖엔 없더라
너 하나가 내 전부였더라
영원히 내 사랑 너야
다시 태어나도 너야
내 삶에 단 한 사람 너야
영원히 내 사랑 너야
다시 태어나도 너야
내 삶에 단 한 사람 너야.. 너야"
이세계아이돌,KIDDING,"졸졸 따라다녀 어떡해 나
마치 피리 부는 사나이처럼
내겐 없어 딴 맘
오늘은 좀 바빠 my
Don't you know me?
I'm just staring at your eyes
앞을 향해 달려 Go away
뒤도 돌아보지 말고
나를 떠나 또
Don't leave me
어쩌면 그렇게 너
눈치 보지 말고
조금씩 맘을 열어 Open door
도대체 어디서 뭘 했던 거야
너는 나빠 Bad boy
But I'm 이미 알아
자꾸 도망치지마
주위를 맴돌고 있어
Don't think about it no more
I'm get you ouuta my mind
너는 대체 누구야
Tell me What you got What you got
옳지 내게 와봐 위험하지 않아
내 손을 먼저 줄게 천천히 생각해봐
네가 충분히 가까이 왔을 때 그때
널 잡고 놓아주지 않을 거야
You gotta be kidding kidding yes ah yeh ah yeh
just not a kiddy kiddy no ah yeh ah yeh
오래 기다리진 않아 설렘은 잠깐이니까
You gotta be kidding kidding yes ah yeh ah yeh
Go on Go on, my Warning Warning
너 땜에 worry(ing) worry(ing)
자꾸만 시선을 뺏겨 괜히 넌 툭툭
Hitting my heart
I’ll be your cutie pie
자꾸 가까워져 너너너
네 옆자리를 knock knock knock
Let's Get it Get it Get it Get it Yeah
괜찮아 눈치 보지 말고
가까이 다가와 Take my hand
그렇게 하나하나 시작해봐
너는 나빠 Bad boy
But I'm 이미 알아
자꾸 도망치지마
주위를 맴돌고 있어
Don't think about it no more
I'm get you ouuta my mind
너는 대체 누구야
Tell me What you got What you got
옳지 내게 와봐 위험하지 않아
내 손을 먼저 줄게 천천히 생각해봐
네가 충분히 가까이 왔을 때 그때
널 잡고 놓아주지 않을 거야
You gotta be kidding kidding yes ah yeh ah yeh
just not a kiddy kiddy no ah yeh ah yeh
오래 기다리진 않아 설렘은 잠깐이니까
You gotta be kidding kidding yes ah yeh ah yeh
좁혀지는 이 거리감이 좋아
괜찮을지 걱정하지 마
하나부터 열까지 0부터 100까지
완벽할 필요는 없는 거야
You gonna love me
We got a feeling
You gonna hold me me me
Take me to your world
You gotta be kidding kidding yes ah yeh ah yeh
just not a kiddy kiddy no ah yeh ah yeh
오래 기다리진 않아 설렘은 잠깐이니까
You gotta be kidding kidding yes ah yeh ah yeh
ah yeh ah yeh
ah yeh ah yeh
오래 기다리진 않아 설렘은 잠깐이니까
You gotta be kidding kidding yes ah yeh ah yeh"
NewJeans,OMG,"이 노래는 it’s about you baby
Only you
You you you
You you you you
내가 힘들 때
울 것 같을 때
기운도 이젠
나지 않을 때
It’s you 날 걱정하네
It’s you 날 웃게하네
말 안 해도 돼
Boy what do you say
(They keep on asking me, ""who is he?"") 
멀리든 언제든지 달려와
(They keep on asking me, ""who is he?"") 
바쁜 척도 없이 넌 나타나
(They keep on asking me, ""who is he?"") 
이게 말이 되니 난 물어봐
(They keep on asking me, ""who is he?"") 
너는 말야
He’s the one that’s living in my system baby
Oh my oh my God
예상했어 나
I was really hoping
That he will come through
Oh my oh my God
단 너뿐이야
Asking all the time about what I should do
No I can never let him go
너만 생각나 24
난 행운아야 정말로 I know, I know
널 알기 전까지는 나
의미 없었어 전부 다
내 맘이 끝이 없는 걸 I know, I know
I’m going crazy right?
어디서든
몇 번이든
There ain’t nothing else that I would hold on to
I hear his voice
Through all the noise
잠시라도 내 손 놓지 마 no, no
걱정 없잖아
‘Cause I got someone
혼자라도 괜찮아
‘Cause I love someone
(They keep on asking me, ""who is he?"") 
멀리든 언제든지 달려와
(They keep on asking me, ""who is he?"") 
바쁜 척도 없이 넌 나타나
(They keep on asking me, ""who is he?"") 
이게 말이 되니 난 물어봐
(They keep on asking me, ""who is he?"") 
너는 말야
He’s the one that’s living in my system baby
Oh my oh my God
예상했어 나
I was really hoping
That he will come through
Oh my oh my God
단 너뿐이야
Asking all the time about what I should do
No I can never let him go
너만 생각나 24
난 행운아야 정말로 I know, I know
널 알기 전까지는 나
의미 없었어 전부 다
내 맘이 끝이 없는 걸 I know, I know
너와 나
My heart is glowing
It’s glowing up
너랑만 있으면 무서울 게 없어
가득 메워진, 다 메워진 (붉어진)
My heart is glowing, it’d be glowing
‘Cause he
Oh my oh my God
예상했어 나
I was really hoping
That he will come through
Oh my oh my God
단 너뿐이야
Asking all the time about what I should do
No I can never let him go
He’s right there for me 24
난 행운아야 정말로 I know, I know
널 알기 전까지는 나
의미 없었어 전부 다
어떡해
My heart is glowing, it’s glowing
My heart is glowing up
So I can’t sleep at night"
NCTDREAM,Candy,"Candy
사실은 오늘 너와의
만남을 정리하고 싶어
널 만날 거야 이런 날 이해해
어렵게 맘 정한 거라
네게 말할 거지만
사실 오늘 아침에
그냥 나 생각한 거야
햇살에 일어나 보니
너무나 눈부셔
모든 게 다 변한 거야
널 향한 마음도
그렇지만 널 사랑 않는 게 아냐
이제는 나를 변화시킬 테니까
너 몰래 몰래 몰래
다른 여자들과 비교 비교했지
자꾸만 깨어지는 환상 속에
혼자서 울고 있는
초라하게 갇혀버린 나를 보았어
널 떠날 거야 uh
널 떠날 거야 uh
하지만 아직까지 사랑하는 걸
그래 그렇지만 내 맘속에
너를 잊어갈 거야
머리 위로 비친
내 하늘 바라다보며
널 향한 마음을 이제는 굳혔지만
웬일인지 네게 더 다가갈수록
우린 같은 하늘 아래 서 있었지
단지 널 사랑해 이렇게 말했지
이제껏 준비했던
많은 말을 뒤로한 채
언제나 니 옆에 있을게
이렇게 약속을 하겠어
저 하늘을 바라다보며
내게 하늘이 열려있어
그래그래 너는 내 앞에 서 있고
그래 다른 연인들은 키스를 해
하지만 항상 나는
너의 뒤에 있어야만 해
이제 그만해 나도 남잔데
내 마음 너도 알고 있는 걸 알아
그래 이제 나도 지쳐서
하늘만 바라볼 수밖에
내게 하늘이 열려있어
그래그래 너는 내 앞에 서 있고
그래 다른 연인들은 키스를 해
왜 난 너의 뒤에 있어야 할까
햇살에 일어나 보니
너무나 눈부셔
모든 게 다 변한 거야
널 향한 마음도
그렇지만 널 사랑 않는 게 아냐
이제는 나를 변화시킬 테니까
머리 위로 비친
내 하늘 바라다보며
널 향한 마음을 이제는 굳혔지만
웬일인지 네게 더 다가갈수록
우린 같은 하늘 아래 서 있었지
단지 널 사랑해 이렇게 말했지
이제껏 준비했던
많은 말을 뒤로한 채
언제나 니 옆에 있을게
이렇게 약속을 하겠어
저 하늘을 바라보며
한 번 더 한 번 더 말했지
이제껏 준비했던
많은 말을 뒤로한 채
(준비했던 많은 말을 뒤로한 채
다시 널 사랑한다고 했지)
언제나 니 옆에 있을게
다신 너 혼자 아냐
너의 곁엔 내가 있잖아"
IVE(아이브),IWANT,"예이예이예 음
시끄럽게 쌓인 생각은 접어
두근대는 리듬 즐겨 like festa
가장 좋아하는 운동화를 신고
숨차게 달려봐
대체 누가 뭐가 그리 답답한데?
원래 내일 걱정 따윈 내일모레
일어나 지도 않은 일은 몰라도 돼
그게 더 fun해
한껏 즐겨볼래 매일이 Festa
금새 짜릿하게 기분이 Up yeah
상쾌한 color마음에 파랗게 물들고 있어 
시끄러운 도심도 나의 무대
두근대는 리듬 즐겨 like festa
감각들을 전부 깨워줄 순간
더 높이 뛰어봐 (oh –)
하고 싶은 건 다 해도 돼
더 실컷 소리쳐 fun fun하게
가장 좋아하는 표정을 짓고
신나게 웃어봐 
1 더하기 1은 그냥 2인데
뭐를 자꾸 더해 땡, Think again
새까맣게 칠했던 어제에 
별빛을 뿌려
시끄러운 도심도 나의 무대
두근대는 리듬 즐겨 like festa
감각들을 전부 깨워줄 순간
더 높이 뛰어봐 (oh –)
하고 싶은 건 다 해도 돼
더 실컷 소리쳐 fun fun하게
가장 좋아하는 표정을 짓고
신나게 웃어봐 
It's okay to repeat
It's okay to dream
전부 특별해져 you and me, 어느새
It's okay to repeat
It's okay to dream, oh-
멈출 수 없는 이 시작을 즐겨
가장 좋아하는 색깔을 골라
감각들을 전부 깨워줄 순간
느껴봐 my festa (oh -)
하고 싶은 건 다 해도 돼
더 실컷 소리쳐 fun fun하게
가장 좋아하는 표정을 짓고
신나게 웃어봐 
Yeah -"
